Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
3/21/2022 8:00,AC,15,220341,No,Male,Juvenile,,182,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2168,162.986,,1,,,,162.986_220341
3/20/2022 8:00,AC,16,220322,No,Male,Adult,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2150,162.716,,2,,,,162.716_220322
3/23/2022 8:00,AC,16,220363,No,F,Juvenile,,168,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21143,163.896,,3,,,,163.896_220363
3/14/2022 8:00,FC,42,194698,Yes,Male,Adult,,196,Good,Left,None,VHF-Pendant,AWE,TT821475,149.406,None,,,,,4,,,,_194698
3/14/2022 8:00,FC,42,220002,No,Male,Juvenile,,178,Good,Right,None,None,,,,None,,,,,5,,,,_220002
3/23/2022 8:00,AC,16,220364,No,F,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21158,164.079,,6,,,,164.079_220364
3/11/2022 10:00,FC,42,220004,No,Male,Juvenile,,173,Good,Right,None,None,,,,None,,,,,7,,,,_220004
3/11/2022 10:00,FC,42,220005,No,F,Juvenile,,166,Good,Left,None,None,,,,None,,,,,8,,,,_220005
3/11/2022 10:00,FC,42,220006,No,Male,Juvenile,,184,Good,Left,None,None,,,,None,,,,,9,,,,_220006
3/11/2022 10:00,FC,38,220007,No,F,Juvenile,,170,Good,Right,None,None,,,,None,,,,,10,,,,_220007
3/23/2022 8:00,AC,16,220371,No,F,Juvenile,,168,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21172,164.228,,11,,,,164.228_220371
3/23/2022 8:00,AC,16,220372,No,F,Juvenile,,162,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21193,163.3,,12,,,,163.300_220372
3/19/2022 8:00,AC,16,220316,No,Male,Juvenile,,165,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21148,163.947,,13,,,,163.947_220316
3/20/2022 8:00,AC,17,220325,No,Male,Juvenile,,174,Moderate - Feathers Missing from Scalp,None,None,None,,,,VHF-Pendant,AWE,OA21104,163.427,,14,,,,163.427_220325
3/11/2022 10:00,FC,38,220012,No,Male,Juvenile,,190,Good,Left,None,None,,,,None,,,,,15,,,,_220012
3/11/2022 10:00,FC,38,220013,No,Male,Juvenile,,158,Good,Left,None,None,,,,None,,,,,16,,,,_220013
3/11/2022 10:00,FC,38,220014,No,F,Juvenile,,156,Good,Left,None,None,,,,None,,,,,17,,,,_220014
3/31/2022 8:00,FC,38,220014,No,F,Juvenile,,156,Good,Left,None,None,,,,None,AWE,0A21-85,163.175,,18,,,,163.175_220014
3/11/2022 10:00,FC,38,220015,No,F,Adult,,212,Good,Left,None,None,,,,None,,,,,19,,,,_220015
3/11/2022 10:00,FC,32,220016,No,F,Adult,,184,Good,Left,None,None,,,,None,,,,,20,,,,_220016
3/20/2022 8:00,AC,17,220326,No,F,Juvenile,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21155,164.043,,21,,,,164.043_220326
3/13/2022 9:00,AC,18,220209,No,Male,Juvenile,,167,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20274,163.156,,22,,,,163.156_220209
3/14/2022 8:00,AC,18,220093,No,F,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21164,164.146,,23,,,,164.146_220093
3/14/2022 8:00,AC,19,204643,Yes,Male,Adult,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20337,164.272,,24,,,,164.272_204643
3/14/2022 8:00,AC,19,220065,No,F,Adult,,158,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21134,163.795,,25,,,,163.795_220065
3/14/2022 8:00,AC,19,220066,No,F,Juvenile,,148,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21136,163.822,,26,,,,163.822_220066
3/21/2022 8:00,AC,19,220337,No,F,Juvenile,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2170,163.013,,27,,,,163.013_220337
3/28/2022 8:00,AC,19,220348,No,F,Adult,,168,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21142,163.886,,28,,,,163.886_220348
3/17/2022 8:00,AC,21,220099,No,Male,Juvenile,,172,Moderate - Feathers Missing from Body,Right,Right,None,,,,VHF-Pendant,AWE,Oa21152,164.011,,29,,,,164.011_220099
3/12/2022 10:00,AC,27,220202,No,F,Juvenile,,192,Good,Right,None,None,,,,VHF-Pendant,AWE,HSL-241353,164.334,,30,,,,164.334_220202
3/11/2022 10:00,FC,102,220025,No,Male,Juvenile,,200,Good,Right,None,None,,,,None,,,,,31,,,,_220025
3/12/2022 10:00,AC,27,220203,No,Male,Juvenile,,168,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2121,162.22,,32,,,,162.220_220203
3/12/2022 10:00,AC,27,220204,No,F,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2187,163.193,,33,,,,163.193_220204
3/12/2022 10:00,AC,27,220205,No,Male,Juvenile,,182,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20-295,163.363,,34,,,,163.363_220205
3/14/2022 8:00,AC,27,204659,Yes,Male,Adult,,186,Good,Right,None,None,,,,VHF-Pendant,AWE,Hsl241345,166.346,,35,,,,166.346_204659
3/14/2022 8:00,AC,27,220253,No,F,Juvenile,,162,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2112,162.132,,36,,,,162.132_220253
3/12/2022 10:00,AC,42,194698,Yes,Male,Adult,,195,Good,Right,None,None,,,,None,,,,,37,,,,_194698
3/21/2022 8:00,AC,28,220338,No,Male,Adult,,189,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2160,162.833,,38,,,,162.833_220338
3/12/2022 10:00,AC,42,220207,No,Male,Adult,,180,Good,Right,None,None,,,,None,,,,,39,,,,_220207
3/12/2022 10:00,FC,99,220026,No,F,Adult,,170,Bad - Scalp Severely Torn,Right,None,None,,,,None,,,,,40,,,,_220026
3/14/2021 8:00,AC,30,214737,Yes,F,Juvenile,,148,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20342,164.683,Print on collar ? collar frequency,41,,,,164.683_214737
3/14/2021 8:00,AC,30,214735,Yes,Male,Juvenile,,154,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21123,163.661,,42,,,,163.661_214735
3/14/2021 8:00,AC,30,214730,No,F,Juvenile,,160,Good,Left,None,VHF-Pendant,AWE,2116N,162.551,VHF-Pendant,AWE,2116N,162.551,Same collar,43,,,,162.551_214730
3/14/2022 8:00,AC,43,214695,No,Male,Juvenile,,182,Good,Right,None,VHF-Pendant,AWE,021-25,164.113,VHF-Pendant,AWE,OA212,162.013,,44,,,,162.013_214695
3/14/2022 8:00,AC,43,214711,Yes,Male,Adult,,169,Good,Left,None,VHF-Pendant,AWE,OA21-26,162.343,VHF-Pendant,AWE,OA21-26,162.343,,45,,,,162.343_214711
3/14/2022 8:00,AC,43,205070,No,Male,Adult,,190,Good,Right,Right,VHF-Pendant,AWE,021-85,165.605,VHF-Pendant,AWE,021-85,165.605,Kept collar from fall —- 020070 wing tag,46,,,,165.605_205070
3/14/2022 8:00,AC,43,214698,Yes,F,Juvenile,,0,Good,Left,None,None,,,,VHF-Pendant,AWE,Oa2188,163.202,,47,,,,163.202_214698
3/14/2022 8:00,AC,43,220255,No,F,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2117,162.185,,48,,,,162.185_220255
3/12/2022 10:00,FC,37,220035,No,Male,Juvenile,,172,Good,Right,None,None,,,,None,,,,,49,,,,_220035
3/12/2022 10:00,FC,37,220037,Yes,Male,Juvenile,,170,Good,Right,Right,None,,,,None,,,,Wing does not match band… 0021019,50,,,,_220037
3/25/2022 8:00,DB,132,220394,No,Male,Adult,,182,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21118,163.58,,51,,,,163.580_220394
